"logoPlanID","policyS3LogoMappingID","pbp","cmsContractNumber","carrier","account","group","displayPlanName","isDefaultLogo","validFrom","validTill","createdAt","createdBy","updatedAt","updatedBy","legacyLogoID","isDeleted","s3LogoMappingID","policyID","policyS3LogoID","createdAt-2","createdBy-2","updatedAt-2","updatedBy-2","policyS3LogoID-2","s3LogoName","s3LogoURL","createdAt-3","createdBy-3","updatedAt-3","updatedBy-3","policyID-2","policyName","policyTypeID","IsMedicarePolicy","createdAt-4","createdBy-4","updatedAt-4","updatedBy-4","contractID","contractID-2","contractName","clientID","clientID-2","clientName"
8018,1640,NULL,NULL,NULL,NULL,NULL,"PHP Medicare (HMO-POS)",True,"2022-09-22 04:00:00+00",NULL,"2022-09-21 14:26:44.901846+00","216672","2022-09-21 14:26:44.901846+00",NULL,NULL,False,1640,1827,698,"2022-07-06 17:05:57.121041+00","216672","2022-07-06 17:05:57.121041+00",NULL,698,"Lumeris PHP-Med_Logo-black.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Lumeris%20PHP-Med_Logo-black.jpg","2022-07-06 17:05:57.121041+00","216672","2022-07-06 17:05:57.121041+00",NULL,1827,"ESI - Lumeris - H7646",6,True,"2022-06-17 19:13:47.329454+00",NULL,"2022-06-17 19:13:47.329454+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9158,2056,NULL,NULL,"9096",NULL,NULL,"The Pension, Hospitalization and Benefit Plan of the Electrical Industry (PHBP)",False,"2023-11-14 05:00:00+00",NULL,"2023-11-13 14:57:52.575763+00","346159","2023-11-13 14:57:52.575763+00",NULL,NULL,False,2056,2007,875,"2023-11-10 18:43:45.370867+00","216672","2023-11-10 18:43:45.370867+00",NULL,875,"LOG_ESIM_MTM2024_1_000.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/LOG_ESIM_MTM2024_1_000.jpg","2023-11-10 18:43:45.370867+00","216672","2023-11-10 18:43:45.370867+00",NULL,2007,"ESI - EGWP - S5660",6,True,"2023-10-19 21:35:11.107442+00",NULL,"2023-10-19 21:35:11.107442+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9744,2245,NULL,NULL,"2FFA","EX352199","057","Wellcare Specialty No Premium (HMO C-SNP)",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-19 20:45:42.103116+00","397267","2024-01-27 04:37:35.353915+00","316544",NULL,False,2245,2069,763,"2023-12-19 20:45:07.190461+00","397267","2023-12-19 20:45:07.190461+00",NULL,763,"Wellcare_By_Allwell 22 .jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_By_Allwell%2022%20.jpg","2022-12-19 19:48:27.824034+00","441324","2022-12-19 19:48:27.824034+00",NULL,2069,"ESI - Centene - H0351",6,True,"2023-11-16 21:59:28.851002+00",NULL,"2023-11-16 21:59:28.851002+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9743,2245,NULL,NULL,"2FFA","EX352223","054","Wellcare Giveback (HMO)",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-19 20:45:25.650393+00","397267","2024-01-27 04:37:37.689853+00","316544",NULL,False,2245,2069,763,"2023-12-19 20:45:07.190461+00","397267","2023-12-19 20:45:07.190461+00",NULL,763,"Wellcare_By_Allwell 22 .jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_By_Allwell%2022%20.jpg","2022-12-19 19:48:27.824034+00","441324","2022-12-19 19:48:27.824034+00",NULL,2069,"ESI - Centene - H0351",6,True,"2023-11-16 21:59:28.851002+00",NULL,"2023-11-16 21:59:28.851002+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9622,2203,NULL,NULL,"2FRA","EX352591","004","Wellcare Dual Access (HMO D-SNP)",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-19 18:46:41.486258+00","450972","2024-01-27 04:46:56.201588+00","316544",NULL,False,2203,2108,746,"2023-12-19 18:45:22.604501+00","450972","2023-12-19 18:45:22.604501+00",NULL,746,"Wellcare_Logo 22.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_Logo%2022.jpg","2022-12-18 23:50:52.552676+00","441324","2022-12-18 23:50:52.552676+00",NULL,2108,"ESI - Centene - H4868",6,True,"2023-11-16 22:32:51.455059+00",NULL,"2023-11-16 22:32:51.455059+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9256,2116,NULL,NULL,"2FRA","EX352600","002","Wellcare Dual Liberty (HMO D-SNP)",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-18 19:01:09.568996+00","216672","2024-01-27 04:53:20.521255+00","316544",NULL,False,2116,2131,746,"2023-12-18 18:59:52.847024+00","216672","2023-12-18 18:59:52.847024+00",NULL,746,"Wellcare_Logo 22.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_Logo%2022.jpg","2022-12-18 23:50:52.552676+00","441324","2022-12-18 23:50:52.552676+00",NULL,2131,"ESI - Centene - H6975",6,True,"2023-11-17 18:09:43.761622+00",NULL,"2023-11-17 18:09:43.761622+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9375,2142,NULL,NULL,"2FGA","EX352761","207","Wellcare Medicare Rx Value Plus (PDP)",False,"2024-01-01 05:00:00+00","2024-02-01 04:59:59.999+00","2023-12-19 01:46:45.532845+00","216672","2024-02-01 02:18:56.91339+00","216672",NULL,False,2142,2155,746,"2023-12-18 20:01:07.847761+00","216672","2023-12-18 20:01:07.847761+00",NULL,746,"Wellcare_Logo 22.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_Logo%2022.jpg","2022-12-18 23:50:52.552676+00","441324","2022-12-18 23:50:52.552676+00",NULL,2155,"ESI - Centene - S4802",6,True,"2023-11-18 01:00:23.806662+00",NULL,"2023-11-18 01:00:23.806662+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9046,2042,NULL,NULL,"7288",NULL,NULL,"Express Scripts Medicare( R ) (PDP) for Franklin Essex Hamilton Health Insurance Consortium",False,"2023-11-11 05:00:00+00",NULL,"2023-11-10 18:24:14.106524+00","216672","2023-11-10 18:24:14.106524+00",NULL,NULL,False,2042,2007,861,"2023-11-10 18:23:57.753768+00","216672","2023-11-10 18:23:57.753768+00",NULL,861,"LOG_7288_EM_MTM2024_1_000.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/LOG_7288_EM_MTM2024_1_000.jpg","2023-11-10 18:23:57.753768+00","216672","2023-11-10 18:23:57.753768+00",NULL,2007,"ESI - EGWP - S5660",6,True,"2023-10-19 21:35:11.107442+00",NULL,"2023-10-19 21:35:11.107442+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9159,2056,NULL,NULL,"9368",NULL,NULL,"FELRA & UFCW Retiree Health and Welfare Plan, a plan of the FELRA & UFCW VEBA Fund",False,"2023-11-14 05:00:00+00",NULL,"2023-11-13 14:58:22.606383+00","346159","2023-11-13 15:02:24.85965+00","346159",NULL,False,2056,2007,875,"2023-11-10 18:43:45.370867+00","216672","2023-11-10 18:43:45.370867+00",NULL,875,"LOG_ESIM_MTM2024_1_000.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/LOG_ESIM_MTM2024_1_000.jpg","2023-11-10 18:43:45.370867+00","216672","2023-11-10 18:43:45.370867+00",NULL,2007,"ESI - EGWP - S5660",6,True,"2023-10-19 21:35:11.107442+00",NULL,"2023-10-19 21:35:11.107442+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
9735,2243,NULL,NULL,"2FFA","EX352215","015","Wellcare No Premium (HMO)",False,"2024-01-01 05:00:00+00","2024-01-30 04:59:59.999+00","2023-12-19 20:41:47.875782+00","397267","2024-01-27 04:36:53.396047+00","316544",NULL,False,2243,2067,746,"2023-12-19 20:38:25.575553+00","397267","2023-12-19 20:38:25.575553+00",NULL,746,"Wellcare_Logo 22.jpg","https://cc-policy-config-logos-prod.s3.amazonaws.com/Wellcare_Logo%2022.jpg","2022-12-18 23:50:52.552676+00","441324","2022-12-18 23:50:52.552676+00",NULL,2067,"ESI - Centene - H0174",6,True,"2023-11-16 21:57:01.423527+00",NULL,"2023-11-16 21:57:01.423527+00",NULL,209,209,"Express Scripts",234,234,"Express Scripts"
