298,HUMANA MED ADHERENCE - INTERNAL,72,1,1900-01-01,NULL,55073,1900-01-01,NULL
364,UIC-PQA STUDY (HUMANA TELEPHONIC),72,0,1900-01-01,NULL,55073,1900-01-01,NULL
363,UIC-PQA STUDY (SUPERVALU),72,0,1900-01-01,NULL,112875,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,3798,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4135,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4136,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4178,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4179,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4300,1900-01-01,NULL
249,MERCY MEDICAL CENTER - DUBUQUE,78,1,1900-01-01,NULL,4301,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,2661,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,2865,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29731,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29735,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29736,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29737,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29738,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29741,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29743,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29744,1900-01-01,NULL
337,AURORA MTM PROGRAM,61,1,1900-01-01,NULL,29745,1900-01-01,NULL
