1,CAREPRO HEALTH SERVICES,64,1
22,CITY OF AMES EMPLOYEES,67,1
62,MERCY - MEDICAID PHARMACEUTICAL CASE MANAGEMENT,78,1
97,IOWA PHARMACEUTICAL CASE MANAGEMENT,78,1
142,MEDI-CAREFIRST PDP,63,1
147,HEALTH PLAN OF SAN MATEO - CAREADVANTAGE,70,1
168,PARTNERSHIP HEALTH PLAN,81,1
196,CHECKMEDS NC,66,0
224,SENIOR WHOLE HEALTH MEDICARE,85,1
225,COP-College of Pharmacy,11,1
232,ALAMEDA ALLIANCE FOR HEALTH - MEDICARE PART D,57,1
242,MEDICA MEDICARE PART D MEMBERS,76,1
249,MERCY MEDICAL CENTER - DUBUQUE,78,1
252,CARESOURCE - MID ROGUE MEDICARE PART D,79,1
253,SECURITY HEALTH-ADVOCARE MEDICARE PART D PLANS,84,1
255,LA CARE SNP MEDICARE PART D,75,1
257,HUMANA MTM,72,1
258,HUMANA COMMERCIAL,72,1
259,HUMANA ASO,72,0
260,HUMANA REFERRING PROGRAMS,72,1
261,GOODSTART FOR LIPITOR,95,0
262,CAREPLUS MTM,72,1
263,NATIONWIDE NORTHLAND ASTHMA,98,1
264,NATIONWIDE WESTSIDE ASTHMA,98,1
265,NATIONWIDE EMPLOYEE DIABETES,98,1
266,NATIONWIDE DISCHARGE TEACHING,98,1
267,NATIONWIDE IDC,98,1
270,COMMUNITY HEALTH GROUP,69,1
271,ICARE - INDEPENDENT CARE HEALTH PLAN,73,1
276,ATRIO HEALTH,59,0
277,HAWAII EMPLOYER-UNION HEALTH BENEFITS TRUST FUND MEDICARE,74,0
278,FRESNO CITY EMPLOYEES HEALTH & WELFARE TRUST MEDICARE,74,0
280,SANTA FE EMPLOYES HOSPITAL ASSOCIATION-COAST LINES MEDICARE,74,0
281,C&O EMPLOYEES HOSPITAL ASSOCIATION MEDICARE,74,0
287,NATIONWIDE ANTICOAGULATION SERVICE,98,1
288,GOODSTART FOR NOVOLOG,95,0
289,HMSA BCBS OF HAWAII,71,0
290,AMERICAS 1ST CHOICE OF NC- SPECTRAL SOLUTIONS,86,1
291,FREEDOM HEALTH- SPECTRAL SOLUTIONS,86,1
292,OPTIMUM HEALTHCARE-SPECTRAL SOLUTIONS,86,1
293,AMERICAS 1ST CHOICE OF SC- SPECTRAL SOLUTIONS,86,1
294,SECURITY HEALTH OF WI COMMERCIAL POPULATION,84,0
295,COMMONWEALTH CARE ALLIANCE PART D,68,0
297,GOODSTART FOR LEVEMIR,95,0
298,HUMANA MED ADHERENCE - INTERNAL,72,1
299,NATIONWIDE PRIMARY CARE RED/YELLOW,98,1
307,PS-LEHAN GROUP,99,1
308,NATIONWIDE SOUTH HIGH CLINIC,98,1
309,NATIONWIDE CF CLINIC,98,1
315,HUMANA FOCUSED COMMERCIAL (LIMITED MTMS),72,1
316,HUMANA FOCUSED PART D (LIMITED MTMS),72,1
317,HUMANA PREFERRED RX MTM,72,1
318,PRIORITY HEALTH,83,1
319,PACIFICSOURCE MEDICARE,80,1
320,HUMANA PART D,72,1
321,HUMANA PREFERRED RX,72,0
323,HUMANA PUERTO RICO,72,1
324,HUMANA FOCUSED PREFERRED RX (LIMITED MTMS),72,0
325,HEALTH PLAN OF SAN MATEO - REFERRALS,70,1
